"","Symbol","Last","% Change","Day Range","Low","High","Volume","Bid","Ask","Year Range","Year Low","Year High","Prev. Close","Market Cap","P/E","Beta","% MTD","% YTD"
"","KLAC","381.14","2.250838363514407","20418418457.619415","374.38","383.83","1137117","374.98","390","49284299.54752","282.83","457.12","372.75","55627346300","17.01","1.524","-0.6101058559733086","-11.37150961381973"
"","LCID","18.57","2.6533996683250516","113935.88418695999","18.04","18.71","13906181","18.54","18.59","14278.39875","13.25","57.75","18.09","30261132900","","1.4392","2.246575342465751","-50.9592641261498"
"","LRCX","518.19","4.167169219635758","67280221905.14796","501.97","519.55","1258953","517.09","520.02","142653819.55416638","375.87","731.8492","497.46","69005163900","15.19","1.6219","3.612315438253","-27.88847945491204"
"","LULU","321.69","1.485898163922017","10418455958.184015","317.04","322.27","754952","317","326","39307251.4793175","251.51","485.825","316.98","40460278100","40.28","1.195","3.6005281633441744","-17.82092221228765"
"","MAR","164.07","1.8246136659839873","699434767.8944433","160.98","164.35","1610288","160","164.5","4100588.7125399997","127.58","195.9","161.13","52737526700","30.48","1.0997","3.305629013978084","-0.7080610021786615"
"","MCHP","73.71","3.2786885245901454","28001775.45927762","71.94","73.99","4408336","69.5","75","360419.78699999995","54.33","90","71.37","39430783100","26.16","1.545","7.043276212605276","-15.334252239834612"
"","MDLZ","64.2","-0.13999066728884735","16997840.712982804","63.78","64.57","4838258","63","66","257006.00175","57.625","69.47","64.29","88113945300","23.32","0.7207","0.2498438475952547","-3.1820238274769985"
"","MELI","1077.52","4.363322905265998","1268034877119.963","1049","1082.98","508900","1072.2","1099","1279379843.916174","600.685","1970.13","1032.47","52013773700","218.36","1.4659","32.858143564660615","-19.82497775140909"
"","META","180.23","1.543748943602452","1038534998.3989125","178.95","181.15","21274046","180.05","181","396883.39999999997","11.95","184","177.49","477034548300","14.7","1.2219","13.450659962287869","1089.064558629776"
"","MNST","91","1.903695408734607","64461948.54055459","88.97","90.13","2964884","88.4","91.75","644890.924755","71.775","99.81","89.3","47299620300","39.01","0.8683","-9.636619152780579","-6.268221574344035"
"","MRNA","170.95","-0.5005529363832251","863059973.3600669","168.7","173.95","2818023","170.95","174.99","9199437.189030001","115.61","464.85","171.81","68339145600","5.24","0.4715","4.320799561216404","-32.600992204110554"
"","MRVL","55.15","2.6810649785887097","8991838.58536768","54.41","55.58","7408429","54.1","55.45","213380.66352","41.07","93.85","53.71","45648129000","","1.4159","-0.5747126436781658","-36.724197051091544"
"","MSFT","292.17","1.7943000487770977","7018048012.769311","286.95","291.91","22619675","289.3","292.5","24651449.704247","241.51","349.67","287.02","2140563587799.9998","29.76","1.1508","3.9787703925340256","-13.204686013320632"
"","MTCH","68","2.6105326693828257","20643166.60876701","67.09","68.31","2066878","66.2","68.77","731768.160214","59.1541","182","66.27","18926248100","208.53","1.102","-7.284135861410457","-48.60491493383743"
"","MU","65.1","4.4608472400513355","16599531.475025281","62.61","65.41","16193978","64.88","65.25","329123.8632","51.4","98.45","62.32","68748308000","7.1","1.4388","5.140640155189158","-30.177133655394528"
"","NFLX","249.27","2.7070457354759103","3678935767.0092","243.8","249.4","6098531","246","249.5","28434655.7288082","162.71","700.9894","242.7","107930146200","21.58","0.9466","10.84926634059582","-58.61828563840383"
"","NTES","91.94","0.4589160839160833","69067644.469824","89.25","92.03","1121980","86.89","93","745164.973864","68.62","118.19","91.52","60085534100","23.04","1.0024","-1.183050118305018","-9.726861858911384"
"","NVDA","187.7","4.614870137108462","1140023772.1481817","181.44","187.18","47809415","187.6","188","9110601.711765002","140.55","346.47","179.42","448550000000","48.15","1.3784","3.0061113252216165","-36.38774608139812"
"","NXPI","188","4.2244151236279","1153097000.0422363","181.8","187.565","2086006","181.31","188.25","6311471.934141","140.33","239.91","180.38","47367427200","19.48","1.4465","1.9523602349358349","-17.696900518043723"
"","ODFL","314.31","-0.34243317797012507","9793290464.603685","311.49","317.16","723997","302","315","27160403.962038","231.31","373.58","315.39","35252401900","29.24","0.9402","3.5583671048729837","-12.297003180981081"
"","OKTA","103.66","1.141574787784183","113331533.63619998","101.6","104.5","1090692","100.05","106","2216089.43145","77.01","276.3","102.49","16170769700","","1.0659","5.7897409852717185","-53.53972431636704"
"","ORLY","731.59","1.6930540303860209","277100157916.8256","718.85","732.41","515612","724.5","740","308315416.39548","562.9","748.68","719.41","47283510000","22.72","0.8538","3.979575608013808","3.5908981493281145"
"","PANW","526.86","2.0038334204565356","74938861129.31328","521.09","528.45","836766","520","534.75","121012265.10016799","358.3665","640.9","516.51","51462680500","","0.9911","5.566018833901021","-5.366764853796968"
"","PAYX","135.61","2.6803967592943234","322953979.4388471","132.96","135.62","1824633","125","139.9","2050636.92136","106.55","141.92","132.07","47532917500","34.44","1.1264","5.714062987215485","-0.652014652014643"
"","PCAR","93.58","0.6236559139784825","76089911.506245","93.05","93.81","1508474","87.99","95","704111.0076","77","97.56","93","32337867000","14.67","0.8227","2.4147727272727293","6.19759800589168"
"","PDD","48.92","-1.4107214832728698","5634631.25376","47.2","49.3","10143259","48.9","50.08","124353.42392000002","23.21","109.79","49.62","62188249800","30.1","0.9466","-0.42848398286063905","-16.295025728987987"
"","PEP","177.32","1.302559414990867","965560456.2259219","175.37","177.38","3756404","174.9","177.4","4710080.075796","149.48","177.69","175.04","241569203200","26.34","0.7546","1.3545953360768248","2.0839329917679006"
"","PYPL","100.87","1.7758046614872347","101994148.46774338","100.02","101.77","12320895","100.78","101.1","2027154.6845999996","67.58","296.7","99.11","114618732800","57.2","1.318","16.838090835548346","-46.38880050906777"
"","QCOM","151.04","2.1714131096529643","501373228.60429204","148","151.47","4967492","147","151.5","3462422.259195","118.225","193.58","147.83","166013090000","13.1","1.2893","4.294774576037486","-17.26909826652814"
"","REGN","628.71","0.7709568841160586","154498729516.57254","622.66","632.57","351278","613","647","252816983.02905595","538.01","747.4214","623.9","68010091199.99999","12.45","0.5769","8.083343361584339","-0.44495819609828846"
"","ROST","90.98","3.2104367555303437","63300243.819571204","88.32","90.22","1908572","86.19","91","794589.986592","69.24","127.34","88.15","30845976900","19.6","1.1865","10.903273443268514","-21.14105705285264"
"","SBUX","88.25","1.1229517589091298","59407910.981259026","87.21","88.39","5153974","87.2","88.74","729332.543884","68.39","120.76","87.27","100133598000","24.54","1.1131","4.163717857985372","-24.502009062152684"
"","SGEN","170.14","-2.24086416915652","859893064.4182801","165.26","175.72","2794828","160.66","180","3458180.87301934","105.43","192.7867","174.04","32099067400","","0.7153","-5.467274141571288","10.051746442432075"
"","SIRI","6.75","0.2971768202080227","2077.3240644","6.695","6.8","8935402","6.5","6.82","265.418016","5.69","6.88","6.73","26208100600","21.48","0.8761","1.4970059880239583","6.771653543307088"
"","SNPS","385.44","2.236014959815402","21195395523.204823","377.96","385.91","931148","374","392","37519166.68896","255.02","381.7","377.01","57671219700","58.64","1.1721","4.88163265306123","4.597014925373144"
"","SPLK","114.81","3.079547495061963","165499434.3668232","112.6","114.94","1414685","110.25","115.8","1716493.9771979998","84.63","176.66","111.38","17921042000","","1.326","10.489846982966045","-0.7863809194607607"
"","SWKS","113.58","3.020408163265298","158704308.27630225","111.37","113.97","1520722","110","113.9","1881084.173892","88.76","186.87","110.25","17742091500","14.01","1.4105","4.160543717854526","-26.898285419620983"
"","TEAM","283.25","2.7012327773749067","6004601952.005964","270.77","283.87","2373358","270","289","21832502.17665","159.54","483.13","275.8","70417807600","","1.0039","35.31912860691764","-25.7127121088935"
"","TMUS","146.47","1.9915047698628063","445371507.9137585","144.38","146.66","3290667","143.61","147.68","2195581.3913280005","101.51","147.68","143.61","180092684400","104.86","0.8257","2.376625192227033","26.280393171236426"
"","TSLA","904.4","5.176243473002362","596235518422.9985","855.49","900.48","26552429","904","904.4","694574780.9030371","620.57","1243.49","859.89","898146506100","103.57","1.5674","0.9692074709742649","-14.827116334525625"
"","TXN","185.38","1.823574645721182","1149736614.110445","183.18","185.97","4161276","183.2","186.5","5416480.50379332","144.4589","202.26","182.06","166349496400","19.91","1.1073","3.627927776846107","-1.639518225712322"
"","VRSK","202.87","0.9805873568939694","1675277490.5351956","201.71","203.78","581719","193.41","216.56","7331011.450695001","156.05","231.57","200.9","31533264000","31","0.8761","6.633377135348217","-11.305906527346643"
"","VRSN","202.09","2.438158961881598","1604567523.3351119","198.7","202.55","389008","191","203","8064180.666674999","155.25","257.03","197.28","21164790200","26.88","0.9773","6.8354831888348455","-20.38058466629895"
"","VRTX","293.55","0.47576670317632797","7433493068.441315","292.16","295.69","990942","289.2","297.77","15675958.94496","176.36","301.8","292.16","74721673000","23.63","0.7518","5.031917549302789","34.11657559198542"
"","WBA","40.5","1.073122036436236","2649436.0388045553","39.97","40.755","4416343","39.96","40.75","81640.6965","36.57","55","40.07","34630778000","6.46","0.7689","2.4482584553256137","-22.181748466257655"
"","WDAY","176.85","6.484826589595372","872482579.1063426","168.99","176.4","3728801","163.5","178","7274302.2798299985","134.1","307.81","166.08","42184320000","","1.1147","13.623468729851695","-35.48942089464823"
"","XEL","75.96","1.8094089264173663","32390229.801387236","75.21","75.99","1675101","73.1","76.5","355971.92909399996","61.155","76.63","74.61","40810998500","24.8","0.6722","3.7988521453949042","12.200886262924659"
"","ZM","109.39","1.2307977049787144","139773894.01411584","107.29","110.08","2488947","109.31","110.44","3254244.358288","79.03","375.98","108.06","32242726700","26.22","0.3673","5.449643751203537","-40.449132727964766"
"","ZS","182.8","2.288624027754471","1082791466.4124856","180.04","184.26","1668045","177","184","8594834.427648","125.12","376.11","178.71","25352336700","","0.9775","17.786663227137865","-43.161236112407806"
