,constituents,symbol
274,BLFY,^RUT
275,BLI,^RUT
276,BLKB,^RUT
277,BLMN,^RUT
278,BLND,^RUT
279,BLNK,^RUT
280,BLUE,^RUT
281,BLX,^RUT
282,BMBL,^RUT
283,BMI,^RUT
284,BMRC,^RUT
285,BNFT,^RUT
286,BNGO,^RUT
287,BNL,^RUT
288,BOC,^RUT
289,BODY,^RUT
290,BOOM,^RUT
291,BOOT,^RUT
292,BORR.OL,^RUT
293,BOWL,^RUT
294,BOX,^RUT
295,BOXD,^RUT
296,BPMC,^RUT
297,BRBR,^RUT
298,BRBS,^RUT
299,BRC,^RUT
300,BRCC,^RUT
301,BRDS,^RUT
302,BRG,^RUT
303,BRKL,^RUT
304,BRMK,^RUT
305,BRP,^RUT
306,BRSP,^RUT
307,BRT,^RUT
308,BRY,^RUT
309,BSIG,^RUT
310,BSRR,^RUT
311,BTAI,^RUT
312,BTRS,^RUT
313,BTU,^RUT
314,BUSE,^RUT
315,BV,^RUT
316,BVH,^RUT
317,BVS,^RUT
318,BW,^RUT
319,BWB,^RUT
320,BWFG,^RUT
321,BXC,^RUT
322,BXMT,^RUT
323,BY,^RUT
324,BYND,^RUT
325,BZH,^RUT
326,CAC,^RUT
327,CAD,^RUT
328,CADE,^RUT
329,CAKE,^RUT
330,CAL,^RUT
331,CALM,^RUT
332,CALX,^RUT
333,CANO,^RUT
334,CARA,^RUT
335,CARE,^RUT
336,CARG,^RUT
337,CARS,^RUT
338,CASA,^RUT
339,CASH,^RUT
340,CASS,^RUT
341,CATC,^RUT
342,CATO,^RUT
343,CATY,^RUT
344,CBAN,^RUT
345,CBL,^RUT
346,CBNK,^RUT
347,CBRL,^RUT
348,CBT,^RUT
349,CBTX,^RUT
350,CBU,^RUT
351,CBZ,^RUT
352,CCB,^RUT
353,CCBG,^RUT
354,CCCC,^RUT
355,CCF,^RUT
356,CCNE,^RUT
357,CCO,^RUT
358,CCOI,^RUT
359,CCRN,^RUT
360,CCS,^RUT
361,CCSI,^RUT
362,CCXI,^RUT
363,CDE,^RUT
364,CDEV,^RUT
365,CDLX,^RUT
366,CDMO,^RUT
367,CDNA,^RUT
368,CDR,^RUT
369,CDRE,^RUT
370,CDXS,^RUT
371,CEIX,^RUT
372,CELH,^RUT
373,CELU,^RUT
374,CENN,^RUT
375,CENT,^RUT
376,CENTA,^RUT
377,CENX,^RUT
378,CERE,^RUT
379,CERS,^RUT
380,CEVA,^RUT
381,CFB,^RUT
382,CFFN,^RUT
383,CGEM,^RUT
384,CHCO,^RUT
385,CHCT,^RUT
386,CHEF,^RUT
387,CHGG,^RUT
388,CHRD,^RUT
389,CHRS,^RUT
390,CHS,^RUT
391,CHUY,^RUT
392,CHX,^RUT
393,CIFR,^RUT
394,CIM,^RUT
395,CINC,^RUT
396,CIO,^RUT
397,CIR,^RUT
398,CISO,^RUT
399,CIVB,^RUT
400,CIVI,^RUT
401,CIX,^RUT
402,CLAR,^RUT
403,CLBK,^RUT
404,CLDT,^RUT
405,CLDX,^RUT
406,CLFD,^RUT
407,CLNE,^RUT
408,CLOV,^RUT
409,CLPR,^RUT
410,CLSK,^RUT
411,CLW,^RUT
412,CMAX,^RUT
413,CMBM,^RUT
414,CMC,^RUT
415,CMCO,^RUT
416,CMLS,^RUT
417,CMP,^RUT
418,CMPO,^RUT
419,CMPR,^RUT
420,CMRE,^RUT
421,CMRX,^RUT
422,CMTG,^RUT
423,CMTL,^RUT
424,CNDT,^RUT
425,CNK,^RUT
426,CNMD,^RUT
427,CNNE,^RUT
428,CNO,^RUT
429,CNOB,^RUT
430,CNS,^RUT
431,CNSL,^RUT
432,CNTY,^RUT
433,CNVY,^RUT
434,CNX,^RUT
435,CNXN,^RUT
436,COCO,^RUT
437,CODI,^RUT
438,COGT,^RUT
439,COHU,^RUT
440,COKE,^RUT
441,COLB,^RUT
442,COLL,^RUT
443,COMM,^RUT
444,COMP,^RUT
445,CONN,^RUT
446,COOK,^RUT
447,COOP,^RUT
448,CORT,^RUT
449,CORZ,^RUT
450,COUR,^RUT
451,COWN,^RUT
452,CPE,^RUT
453,CPF,^RUT
454,CPK,^RUT
455,CPRX,^RUT
456,CPSI,^RUT
457,CPSS,^RUT
458,CRAI,^RUT
459,CRBU,^RUT
460,CRC,^RUT
461,CRD.A,^RUT
462,CRDO,^RUT
463,CRGE,^RUT
464,CRGY,^RUT
465,CRK,^RUT
466,CRMT,^RUT
467,CRNC,^RUT
468,CRNX,^RUT
469,CROX,^RUT
470,CRS,^RUT
471,CRSR,^RUT
472,CRVL,^RUT
473,CSGS,^RUT
474,CSII,^RUT
475,CSR,^RUT
476,CSTE,^RUT
477,CSTL,^RUT
478,CSTM,^RUT
479,CSTR,^RUT
480,CSV,^RUT
481,CSWI,^RUT
482,CTBI,^RUT
483,CTIC,^RUT
484,CTKB,^RUT
485,CTLP,^RUT
486,CTO,^RUT
487,CTOS,^RUT
488,CTRE,^RUT
489,CTRN,^RUT
490,CTS,^RUT
491,CTT,^RUT
492,CTV,^RUT
493,CUBI,^RUT
494,CURO,^RUT
495,CURV,^RUT
496,CUTR,^RUT
497,CVBF,^RUT
498,CVCO,^RUT
499,CVET,^RUT
500,CVGW,^RUT
501,CVI,^RUT
502,CVLG,^RUT
503,CVLT,^RUT
504,CVT,^RUT
505,CWEN,^RUT
506,CWEN.A,^RUT
507,CWH,^RUT
508,CWK,^RUT
509,CWST,^RUT
510,CWT,^RUT
511,CXW,^RUT
512,CYBE,^RUT
513,CYH,^RUT
514,CYRX,^RUT
515,CYTK,^RUT
516,CYXT,^RUT
517,CZNC,^RUT
518,DAN,^RUT
519,DAWN,^RUT
520,DBD,^RUT
521,DBI,^RUT
522,DBRG,^RUT
523,DC,^RUT
524,DCGO,^RUT
525,DCO,^RUT
526,DCOM,^RUT
527,DCPH,^RUT
528,DCT,^RUT
529,DDD,^RUT
530,DDS,^RUT
531,DEA,^RUT
532,DEN,^RUT
533,DENN,^RUT
534,DFH,^RUT
535,DFIN,^RUT
536,DGICA,^RUT
537,DGII,^RUT
538,DHC,^RUT
539,DHIL,^RUT
540,DHT,^RUT
541,DHX,^RUT
542,DIBS,^RUT
543,DICE,^RUT
544,DIN,^RUT
545,DIOD,^RUT
546,DJCO,^RUT
547,DK,^RUT
548,DLTH,^RUT
549,DLX,^RUT
550,DM,^RUT
551,DMRC,^RUT
552,DNLI,^RUT
553,DNMR,^RUT
554,DNOW,^RUT
555,DNUT,^RUT
556,DO,^RUT
557,DOC,^RUT
558,DOCN,^RUT
559,DOMA,^RUT
560,DOMO,^RUT
561,DOOR,^RUT
562,DORM,^RUT
563,DOUG,^RUT
564,DRH,^RUT
565,DRQ,^RUT
566,DSEY,^RUT
567,DSGN,^RUT
568,DSGR,^RUT
569,DSKE,^RUT
570,DSP,^RUT
571,DTC,^RUT
572,DUOL,^RUT
573,DVAX,^RUT
574,DX,^RUT
575,DXLG,^RUT
576,DXPE,^RUT
577,DY,^RUT
578,DYN,^RUT
579,DZSI,^RUT
580,EAF,^RUT
581,EAT,^RUT
582,EB,^RUT
583,EBC,^RUT
584,EBF,^RUT
585,EBIX,^RUT
586,EBS,^RUT
587,EBTC,^RUT
588,ECOM,^RUT
589,ECPG,^RUT
590,ECVT,^RUT
591,EDIT,^RUT
592,EE,^RUT
593,EFC,^RUT
594,EFSC,^RUT
595,EGAN,^RUT
596,EGBN,^RUT
597,EGHT,^RUT
598,EGIO,^RUT
599,EGLE,^RUT
600,EGRX,^RUT
601,EGY,^RUT
602,EHTH,^RUT
603,EIG,^RUT
604,EIGR,^RUT
605,ELF,^RUT
606,ELY,^RUT
607,EMBC,^RUT
608,EME,^RUT
609,ENDP,^RUT
610,ENFN,^RUT
611,ENOB,^RUT
612,ENR,^RUT
613,ENS,^RUT
614,ENSG,^RUT
615,ENTA,^RUT
616,ENV,^RUT
617,ENVA,^RUT
618,ENVX,^RUT
619,EOLS,^RUT
620,EP,^RUT
621,EPAC,^RUT
622,EPC,^RUT
623,EPRT,^RUT
624,EQBK,^RUT
625,EQC,^RUT
626,EQRX,^RUT
627,ERAS,^RUT
628,ERII,^RUT
629,ESE,^RUT
630,ESGR,^RUT
631,ESMT,^RUT
632,ESNT,^RUT
633,ESPR,^RUT
634,ESQ,^RUT
635,ESRT,^RUT
636,ESTE,^RUT
637,ETD,^RUT
638,ETRN,^RUT
639,ETWO,^RUT
640,EVBG,^RUT
641,EVC,^RUT
642,EVCM,^RUT
643,EVER,^RUT
644,EVGO,^RUT
645,EVH,^RUT
646,EVLV,^RUT
647,EVOP,^RUT
648,EVRI,^RUT
649,EVTC,^RUT
650,EWCZ,^RUT
651,EWTX,^RUT
652,EXLS,^RUT
653,EXPI,^RUT
654,EXPO,^RUT
655,EXPR,^RUT
656,EXTR,^RUT
