,constituents,symbol
1191,MYE,^RUT
1192,MYFW,^RUT
1193,MYGN,^RUT
1194,MYPS,^RUT
1195,MYRG,^RUT
1196,NABL,^RUT
1197,NAPA,^RUT
1198,NARI,^RUT
1199,NAT,^RUT
1200,NATR,^RUT
1201,NAUT,^RUT
1202,NAVI,^RUT
1203,NBHC,^RUT
1204,NBN,^RUT
1205,NBR,^RUT
1206,NBTB,^RUT
1207,NC,^RUT
1208,NDLS,^RUT
1209,NE,^RUT
1210,NEO,^RUT
1211,NEOG,^RUT
1212,NESR,^RUT
1213,NETI,^RUT
1214,NEX,^RUT
1215,NEXT,^RUT
1216,NFBK,^RUT
1217,NG,^RUT
1218,NGM,^RUT
1219,NGMS,^RUT
1220,NGVC,^RUT
1221,NGVT,^RUT
1222,NHC,^RUT
1223,NHI,^RUT
1224,NIC,^RUT
1225,NJR,^RUT
1226,NKLA,^RUT
1227,NKTR,^RUT
1228,NKTX,^RUT
1229,NL,^RUT
1230,NMIH,^RUT
1231,NMRK,^RUT
1232,NN,^RUT
1233,NNI,^RUT
1234,NNOX,^RUT
1235,NODK,^RUT
1236,NOG,^RUT
1237,NOTV,^RUT
1238,NOVA,^RUT
1239,NOVT,^RUT
1240,NPK,^RUT
1241,NPO,^RUT
1242,NR,^RUT
1243,NRC,^RUT
1244,NRDS,^RUT
1245,NRDY,^RUT
1246,NREF,^RUT
1247,NRGV,^RUT
1248,NRIX,^RUT
1249,NSIT,^RUT
1250,NSP,^RUT
1251,NSSC,^RUT
1252,NSTG,^RUT
1253,NTB,^RUT
1254,NTCT,^RUT
1255,NTGR,^RUT
1256,NTLA,^RUT
1257,NTST,^RUT
1258,NUS,^RUT
1259,NUTX,^RUT
1260,NUVA,^RUT
1261,NUVB,^RUT
1262,NUVL,^RUT
1263,NVEE,^RUT
1264,NVRO,^RUT
1265,NVTA,^RUT
1266,NWBI,^RUT
1267,NWE,^RUT
1268,NWLI,^RUT
1269,NWN,^RUT
1270,NWPX,^RUT
1271,NX,^RUT
1272,NXGN,^RUT
1273,NXRT,^RUT
1274,NYMT,^RUT
1275,OB,^RUT
1276,OBNK,^RUT
1277,OCFC,^RUT
1278,OCGN,^RUT
1279,OCUL,^RUT
1280,ODP,^RUT
1281,OEC,^RUT
1282,OFC,^RUT
1283,OFG,^RUT
1284,OFIX,^RUT
1285,OFLX,^RUT
1286,OGS,^RUT
1287,OI,^RUT
1288,OII,^RUT
1289,OIS,^RUT
1290,OLO,^RUT
1291,OLP,^RUT
1292,OM,^RUT
1293,OMCL,^RUT
1294,OMER,^RUT
1295,OMI,^RUT
1296,OMIC,^RUT
1297,ONB,^RUT
1298,ONDS,^RUT
1299,ONEM,^RUT
1300,ONEW,^RUT
1301,ONL,^RUT
1302,ONTF,^RUT
1303,ONTO,^RUT
1304,OOMA,^RUT
1305,OPAD,^RUT
1306,OPCH,^RUT
1307,OPFI,^RUT
1308,OPI,^RUT
1309,OPK,^RUT
1310,OPRT,^RUT
1311,OPRX,^RUT
1312,OPY,^RUT
1313,ORA,^RUT
1314,ORC,^RUT
1315,ORGN,^RUT
1316,ORGO,^RUT
1317,ORRF,^RUT
1318,OSBC,^RUT
1319,OSCR,^RUT
1320,OSIS,^RUT
1321,OSPN,^RUT
1322,OSTK,^RUT
1323,OSUR,^RUT
1324,OSW,^RUT
1325,OTLK,^RUT
1326,OTTR,^RUT
1327,OUST,^RUT
1328,OUT,^RUT
1329,OXM,^RUT
1330,P5N994,^RUT
1331,PACB,^RUT
1332,PACK,^RUT
1333,PAHC,^RUT
1334,PAR,^RUT
1335,PARR,^RUT
1336,PATK,^RUT
1337,PAYA,^RUT
1338,PAYO,^RUT
1339,PBF,^RUT
1340,PBFS,^RUT
1341,PBH,^RUT
1342,PBI,^RUT
1343,PCB,^RUT
1344,PCH,^RUT
1345,PCRX,^RUT
1346,PCSB,^RUT
1347,PCT,^RUT
1348,PCVX,^RUT
1349,PCYO,^RUT
1350,PD,^RUT
1351,PDCO,^RUT
1352,PDFS,^RUT
1353,PDLI,^RUT
1354,PDM,^RUT
1355,PEB,^RUT
1356,PEBO,^RUT
1357,PECO,^RUT
1358,PEPG,^RUT
1359,PETQ,^RUT
1360,PETS,^RUT
1361,PFBC,^RUT
1362,PFC,^RUT
1363,PFHD,^RUT
1364,PFIS,^RUT
1365,PFS,^RUT
1366,PFSI,^RUT
1367,PFSW,^RUT
1368,PGC,^RUT
1369,PGEN,^RUT
1370,PGNY,^RUT
1371,PGRE,^RUT
1372,PGTI,^RUT
1373,PHAT,^RUT
1374,PHR,^RUT
1375,PI,^RUT
1376,PIII,^RUT
1377,PING,^RUT
1378,PIPR,^RUT
1379,PJT,^RUT
1380,PKBK,^RUT
1381,PKE,^RUT
1382,PL,^RUT
1383,PLAB,^RUT
1384,PLAY,^RUT
1385,PLBY,^RUT
1386,PLCE,^RUT
1387,PLL,^RUT
1388,PLMR,^RUT
1389,PLOW,^RUT
1390,PLPC,^RUT
1391,PLUS,^RUT
1392,PLXS,^RUT
1393,PLYM,^RUT
1394,PMT,^RUT
1395,PMVP,^RUT
1396,PNM,^RUT
1397,PNT,^RUT
1398,PNTG,^RUT
1399,POLY,^RUT
1400,POM.TO,^RUT
1401,POR,^RUT
1402,POSH,^RUT
1403,POWI,^RUT
1404,POWL,^RUT
1405,POWW,^RUT
1406,PPBI,^RUT
1407,PRA,^RUT
1408,PRAA,^RUT
1409,PRAX,^RUT
1410,PRCH,^RUT
1411,PRCT,^RUT
1412,PRDO,^RUT
1413,PRDS,^RUT
1414,PRFT,^RUT
1415,PRG,^RUT
1416,PRGS,^RUT
1417,PRIM,^RUT
1418,PRK,^RUT
1419,PRLB,^RUT
1420,PRM,^RUT
1421,PRMW.TO,^RUT
1422,PRO,^RUT
1423,PRPL,^RUT
1424,PRTA,^RUT
1425,PRTH,^RUT
1426,PRTS,^RUT
1427,PRTY,^RUT
1428,PRVA,^RUT
1429,PRVB,^RUT
1430,PSFE,^RUT
1431,PSMT,^RUT
1432,PSN,^RUT
1433,PSTL,^RUT
1434,PTCT,^RUT
1435,PTEN,^RUT
1436,PTGX,^RUT
1437,PTLO,^RUT
1438,PTRA,^RUT
1439,PTSI,^RUT
1440,PTVE,^RUT
1441,PUBM,^RUT
1442,PUMP,^RUT
1443,PVBC,^RUT
1444,PWP,^RUT
1445,PWSC,^RUT
1446,PZN,^RUT
1447,PZZA,^RUT
1448,QCRH,^RUT
1449,QLYS,^RUT
1450,QNST,^RUT
1451,QRTEA,^RUT
1452,QSI,^RUT
1453,QTRX,^RUT
1454,QTWO,^RUT
1455,QUAD,^RUT
1456,QUOT,^RUT
1457,RAD,^RUT
1458,RADI,^RUT
1459,RAMP,^RUT
1460,RAPT,^RUT
1461,RBB,^RUT
1462,RBBN,^RUT
1463,RBCAA,^RUT
1464,RBOT,^RUT
1465,RC,^RUT
1466,RCII,^RUT
1467,RCKT,^RUT
1468,RCKY,^RUT
1469,RCM,^RUT
1470,RCUS,^RUT
1471,RDBX,^RUT
1472,RDFN,^RUT
1473,RDN,^RUT
1474,RDNT,^RUT
1475,RDVT,^RUT
1476,RDW,^RUT
1477,REAL,^RUT
1478,REFI,^RUT
1479,REI,^RUT
1480,RELY,^RUT
1481,RENT,^RUT
1482,REPL,^RUT
1483,REPX,^RUT
1484,RES,^RUT
1485,RETA,^RUT
1486,REVG,^RUT
1487,REX,^RUT
1488,REZI,^RUT
1489,RFP,^RUT
1490,RGNX,^RUT
1491,RGP,^RUT
1492,RGR,^RUT
1493,RGTI,^RUT
1494,RHP,^RUT
1495,RICK,^RUT
1496,RIDE,^RUT
1497,RIGL,^RUT
1498,RILY,^RUT
1499,RIOT,^RUT
1500,RKLB,^RUT
1501,RKLY,^RUT
1502,RLAY,^RUT
1503,RLGT,^RUT
1504,RLI,^RUT
1505,RLJ,^RUT
1506,RLMD,^RUT
1507,RLYB,^RUT
1508,RM,^RUT
1509,RMAX,^RUT
1510,RMBL,^RUT
1511,RMBS,^RUT
1512,RMNI,^RUT
1513,RMR,^RUT
1514,RNA,^RUT
1515,RNST,^RUT
1516,ROAD,^RUT
1517,ROCC,^RUT
1518,ROCK,^RUT
1519,ROG,^RUT
1520,ROIC,^RUT
1521,ROLL,^RUT
1522,ROOT,^RUT
1523,ROVR,^RUT
1524,RPAY,^RUT
1525,RPD,^RUT
1526,RPT,^RUT
1527,RRBI,^RUT
1528,RRR,^RUT
1529,RSI,^RUT
1530,RSVR,^RUT
1531,RTL,^RUT
1532,RTYU2,^RUT
1533,RUN.DE,^RUT
1534,RUSHA,^RUT
1535,RUTH,^RUT
1536,RVLV,^RUT
1537,RVMD,^RUT
1538,RVNC,^RUT
1539,RWT,^RUT
1540,RXDX,^RUT
1541,RXRX,^RUT
1542,RXST,^RUT
1543,RXT,^RUT
1544,RYAM,^RUT
1545,RYI,^RUT
1546,SABR,^RUT
1547,SAFE,^RUT
1548,SAFT,^RUT
1549,SAGE,^RUT
1550,SAH,^RUT
1551,SAIA,^RUT
1552,SAIL,^RUT
1553,SAMG,^RUT
1554,SANA,^RUT
1555,SANM,^RUT
1556,SASR,^RUT
1557,SATS,^RUT
1558,SAVA,^RUT
1559,SAVE,^RUT
1560,SB,^RUT
1561,SBCF,^RUT
1562,SBGI,^RUT
1563,SBH,^RUT
1564,SBOW,^RUT
1565,SBRA,^RUT
1566,SBSI,^RUT
1567,SBT,^RUT
1568,SCHL,^RUT
1569,SCHN,^RUT
1570,SCL,^RUT
1571,SCS,^RUT
1572,SCSC,^RUT
1573,SCU,^RUT
1574,SCVL,^RUT
1575,SCWX,^RUT
1576,SD,^RUT
1577,SDGR,^RUT
1578,SEAS,^RUT
1579,SEAT,^RUT
1580,SEER,^RUT
1581,SEM,^RUT
1582,SENEA,^RUT
1583,SENS,^RUT
1584,SFBS,^RUT
1585,SFIX,^RUT
1586,SFL,^RUT
1587,SFM,^RUT
1588,SFNC,^RUT
1589,SFST,^RUT
1590,SG,^RUT
1591,SGC,^RUT
1592,SGH,^RUT
1593,SGHT,^RUT
1594,SGMO,^RUT
1595,SGRY,^RUT
1596,SHAK,^RUT
1597,SHBI,^RUT
1598,SHCR,^RUT
1599,SHEN,^RUT
1600,SHLS,^RUT
1601,SHO,^RUT
1602,SHOO,^RUT
1603,SHYF,^RUT
1604,SI,^RUT
1605,SIBN,^RUT
1606,SIG,^RUT
1607,SIGA,^RUT
1608,SIGI,^RUT
1609,SILK,^RUT
1610,SITC,^RUT
1611,SITM,^RUT
1612,SJI,^RUT
1613,SJW,^RUT
1614,SKIL,^RUT
1615,SKIN,^RUT
1616,SKLZ,^RUT
1617,SKT,^RUT
1618,SKY,^RUT
1619,SKYT,^RUT
1620,SKYW,^RUT
1621,SLAB,^RUT
1622,SLCA,^RUT
1623,SLDP,^RUT
1624,SLGC,^RUT
1625,SLP,^RUT
1626,SLQT,^RUT
1627,SLVM,^RUT
1628,SM,^RUT
1629,SMBC,^RUT
1630,SMBK,^RUT
1631,SMCI,^RUT
1632,SMFR,^RUT
1633,SMMF,^RUT
1634,SMP,^RUT
1635,SMPL,^RUT
1636,SMR,^RUT
1637,SMRT,^RUT
1638,SMTC,^RUT
1639,SNBR,^RUT
1640,SNCE,^RUT
1641,SNCY,^RUT
1642,SNDX,^RUT
1643,SNEX,^RUT
1644,SNPO,^RUT
1645,SOI,^RUT
1646,SOND,^RUT
1647,SONO,^RUT
1648,SOVO,^RUT
1649,SOY.TO,^RUT
1650,SP,^RUT
1651,SPCE,^RUT
1652,SPFI,^RUT
1653,SPIR,^RUT
1654,SPNE,^RUT
1655,SPNS,^RUT
1656,SPNT,^RUT
1657,SPSC,^RUT
1658,SPT,^RUT
1659,SPTN,^RUT
1660,SPWH,^RUT
1661,SPWR,^RUT
1662,SPXC,^RUT
1663,SQSP,^RUT
1664,SR,^RUT
1665,SRCE,^RUT
1666,SRDX,^RUT
1667,SRG,^RUT
1668,SRI,^RUT
1669,SRNE,^RUT
1670,SSB,^RUT
1671,SSD,^RUT
1672,SSP,^RUT
1673,SSTI,^RUT
1674,SSTK,^RUT
1675,STAA,^RUT
1676,STAG,^RUT
1677,STAR,^RUT
1678,STBA,^RUT
1679,STC,^RUT
1680,STEM,^RUT
1681,STEP,^RUT
1682,STER,^RUT
1683,STGW,^RUT
1684,STKS,^RUT
1685,STNE,^RUT
1686,STNG,^RUT
1687,STOK,^RUT
1688,STON,^RUT
1689,STR,^RUT
1690,STRA,^RUT
1691,STRC,^RUT
1692,STRL,^RUT
1693,STRO,^RUT
1694,STRS,^RUT
1695,STRY,^RUT
1696,SUM,^RUT
1697,SUMO,^RUT
1698,SUNL,^RUT
1699,SUPN,^RUT
1700,SVC,^RUT
1701,SWAV,^RUT
1702,SWBI,^RUT
1703,SWI,^RUT
1704,SWIM,^RUT
1705,SWKH,^RUT
1706,SWTX,^RUT
1707,SWX,^RUT
1708,SXC,^RUT
1709,SXI,^RUT
1710,SXT,^RUT
1711,SYBT,^RUT
1712,SYNA,^RUT
1713,TA,^RUT
1714,TALO,^RUT
1715,TALS,^RUT
1716,TARS,^RUT
1717,TBBK,^RUT
1718,TBI,^RUT
1719,TBK,^RUT
1720,TBPH,^RUT
1721,TCBI,^RUT
1722,TCBK,^RUT
1723,TCBX,^RUT
1724,TCDA,^RUT
1725,TCMD,^RUT
1726,TCS,^RUT
1727,TCX,^RUT
1728,TDS,^RUT
1729,TDUP,^RUT
1730,TDW,^RUT
1731,TELL,^RUT
1732,TEN,^RUT
1733,TENB,^RUT
1734,TEX,^RUT
1735,TFM,^RUT
1736,TG,^RUT
1737,TGAN,^RUT
1738,TGH,^RUT
1739,TGI,^RUT
1740,TGNA,^RUT
1741,TGTX,^RUT
1742,TH,^RUT
1743,THFF,^RUT
1744,THR,^RUT
1745,THRM,^RUT
1746,THRN,^RUT
1747,THRX,^RUT
1748,THRY,^RUT
1749,THS,^RUT
1750,TIG,^RUT
1751,TIL,^RUT
1752,TILE,^RUT
1753,TIPT,^RUT
1754,TITN,^RUT
1755,TK,^RUT
1756,TKNO,^RUT
1757,TLS,^RUT
1758,TLYS,^RUT
1759,TMCI,^RUT
1760,TMDX,^RUT
1761,TMHC,^RUT
1762,TMP,^RUT
1763,TMST,^RUT
1764,TNC,^RUT
1765,TNET,^RUT
1766,TNGX,^RUT
1767,TNK,^RUT
1768,TNYA,^RUT
1769,TOI,^RUT
1770,TOWN,^RUT
1771,TPB,^RUT
1772,TPC,^RUT
1773,TPH,^RUT
1774,TPIC,^RUT
1775,TPTX,^RUT
1776,TR,^RUT
1777,TRC,^RUT
1778,TREE,^RUT
1779,TRMK,^RUT
1780,TRN,^RUT
1781,TRNO,^RUT
1782,TRNS,^RUT
1783,TROX,^RUT
1784,TRS,^RUT
1785,TRST,^RUT
1786,TRTN,^RUT
1787,TRTX,^RUT
1788,TRUE,^RUT
1789,TRUP,^RUT
1790,TSE,^RUT
1791,TSP,^RUT
1792,TSVT,^RUT
1793,TTCF,^RUT
1794,TTEC,^RUT
1795,TTGT,^RUT
1796,TTI,^RUT
1797,TTMI,^RUT
1798,TTSH,^RUT
1799,TUP,^RUT
1800,TVTX,^RUT
1801,TWI,^RUT
1802,TWNK,^RUT
1803,TWO,^RUT
1804,TWOU,^RUT
1805,TWST,^RUT
1806,TXRH,^RUT
1807,TYDE,^RUT
1808,TYRA,^RUT
1809,UBA,^RUT
1810,UBSI,^RUT
1811,UCBI,^RUT
1812,UCTT,^RUT
1813,UDMY,^RUT
1814,UE,^RUT
1815,UEC,^RUT
1816,UEIC,^RUT
1817,UFCS,^RUT
1818,UFI,^RUT
1819,UFPI,^RUT
1820,UFPT,^RUT
1821,UHT,^RUT
1822,UIS,^RUT
1823,ULCC,^RUT
1824,ULH,^RUT
1825,UMBF,^RUT
1826,UMH,^RUT
1827,UNF,^RUT
1828,UNFI,^RUT
1829,UNIT,^RUT
1830,UNTY,^RUT
1831,UONE,^RUT
1832,UONEK,^RUT
1833,UP,^RUT
1834,UPLD,^RUT
1835,UPWK,^RUT
1836,URBN,^RUT
1837,URE.TO,^RUT
1838,USCB,^RUT
1839,USD,^RUT
1840,USER,^RUT
1841,USLM,^RUT
1842,USM,^RUT
1843,USNA,^RUT
1844,USPH,^RUT
1845,UTI,^RUT
1846,UTL,^RUT
1847,UTMD,^RUT
1848,UTZ,^RUT
1849,UUUU,^RUT
1850,UVE,^RUT
1851,UVSP,^RUT
1852,UVV,^RUT
1853,VAL,^RUT
1854,VALU,^RUT
1855,VBIV,^RUT
1856,VBTX,^RUT
1857,VC,^RUT
1858,VCEL,^RUT
1859,VCSA,^RUT
1860,VCTR,^RUT
1861,VCYT,^RUT
1862,VECO,^RUT
1863,VEL,^RUT
1864,VERA,^RUT
1865,VERI,^RUT
1866,VERU,^RUT
1867,VERV,^RUT
1868,VGR,^RUT
1869,VHI,^RUT
1870,VIA,^RUT
1871,VIAV,^RUT
1872,VICR,^RUT
1873,VIEW,^RUT
1874,VIR,^RUT
1875,VITL,^RUT
1876,VIVO,^RUT
1877,VLD,^RUT
1878,VLDR,^RUT
1879,VLGEA,^RUT
1880,VLTA,^RUT
1881,VLY,^RUT
1882,VMEO,^RUT
1883,VNDA,^RUT
1884,VPG,^RUT
1885,VRAY,^RUT
1886,VRDN,^RUT
1887,VRE,^RUT
1888,VREX,^RUT
1889,VRNS,^RUT
1890,VRNT,^RUT
1891,VRRM,^RUT
1892,VRTS,^RUT
1893,VRTV,^RUT
1894,VSEC,^RUT
1895,VSH,^RUT
1896,VSTO,^RUT
1897,VTGN,^RUT
1898,VTNR,^RUT
1899,VTOL,^RUT
1900,VTYX,^RUT
1901,VUZI,^RUT
1902,VVI,^RUT
1903,VVNT,^RUT
1904,VVX,^RUT
1905,VWE,^RUT
1906,VXRT,^RUT
1907,VZIO,^RUT
1908,WABC,^RUT
1909,WAFD,^RUT
1910,WASH,^RUT
1911,WD,^RUT
1912,WDFC,^RUT
1913,WEAV,^RUT
1914,WEBR,^RUT
1915,WEJO,^RUT
1916,WERN,^RUT
1917,WETF,^RUT
1918,WEYS,^RUT
1919,WFRD,^RUT
1920,WGO,^RUT
1921,WHD,^RUT
1922,WINA,^RUT
1923,WING,^RUT
1924,WIRE,^RUT
1925,WISH,^RUT
1926,WK,^RUT
1927,WKHS,^RUT
1928,WLDN,^RUT
1929,WLLAW,^RUT
1930,WLLBW,^RUT
1931,WLY,^RUT
1932,WMK,^RUT
1933,WNC,^RUT
1934,WOR,^RUT
1935,WOW,^RUT
1936,WRBY,^RUT
1937,WRE,^RUT
1938,WRLD,^RUT
1939,WSBC,^RUT
1940,WSBF,^RUT
1941,WSFS,^RUT
1942,WSR,^RUT
1943,WTBA,^RUT
1944,WTI,^RUT
1945,WTS,^RUT
1946,WTTR,^RUT
1947,WULF,^RUT
1948,WW,^RUT
1949,WWW,^RUT
1950,XERS,^RUT
1951,XHR,^RUT
1952,XMTR,^RUT
1953,XNCR,^RUT
1954,XOS,^RUT
1955,XPEL,^RUT
1956,XPER,^RUT
1957,XPOF,^RUT
1958,XPRO,^RUT
1959,XRX,^RUT
1960,XTSLA,^RUT
1961,XXII,^RUT
1962,YELP,^RUT
1963,YEXT,^RUT
1964,YMAB,^RUT
1965,YORW,^RUT
1966,YOU,^RUT
1967,ZD,^RUT
1968,ZETA,^RUT
1969,ZEUS,^RUT
1970,ZEV,^RUT
1971,ZGN,^RUT
1972,ZGNX,^RUT
1973,ZIMV,^RUT
1974,ZIP,^RUT
1975,ZNTL,^RUT
1976,ZUMZ,^RUT
1977,ZUO,^RUT
1978,ZWS,^RUT
1979,ZYXI,^RUT
